Airline,Region,Year,Revenue_INR_Cr,Profit_Loss_INR_Cr,Passengers_Mn,Load_Factor_Pct,ASK_Bn,Fleet_Size
IndiGo,India,2019,35756.0,-233.0,75.0,85.8,96.3,262
IndiGo,India,2020,14640.0,-5806.0,28.5,69.4,45.4,285
IndiGo,India,2021,25931.0,-6161.0,46.7,73.6,70.4,275
IndiGo,India,2022,54446.0,-305.0,86.7,82.1,113.7,304
IndiGo,India,2023,68904.0,8172.0,106.7,85.9,130.0,367
IndiGo,India,2024,80000.0,10000.0,120.0,87.4,150.0,434
Air India,India,2019,28500.0,-7982.0,22.1,81.2,60.0,121
Air India,India,2020,12100.0,-7017.0,11.5,65.0,30.0,121
Air India,India,2021,19800.0,-9556.0,15.2,70.0,40.0,113
Air India,India,2022,31377.0,-11381.0,24.0,80.0,55.0,128
Air India,India,2023,38000.0,-4444.0,30.0,82.0,70.0,140
Air India,India,2024,45000.0,-9568.0,35.0,83.0,85.0,160
SpiceJet,India,2019,12322.0,-934.0,24.5,90.0,35.0,114
SpiceJet,India,2020,5170.0,-998.0,12.0,75.0,15.0,100
SpiceJet,India,2021,6557.0,-1725.0,14.0,80.0,18.0,91
SpiceJet,India,2022,8897.0,-1503.0,15.0,85.0,22.0,74
SpiceJet,India,2023,7000.0,-400.0,12.0,88.0,20.0,54
SpiceJet,India,2024,6000.0,-1200.0,10.0,90.0,18.0,68
Emirates,Gulf,2019,208840.0,2497.0,56.2,78.5,326.0,270
Emirates,Gulf,2020,70143.0,-46081.0,6.6,44.3,61.0,259
Emirates,Gulf,2021,134384.0,-8853.0,19.6,58.6,146.0,262
Emirates,Gulf,2022,243798.0,24062.0,43.6,79.5,280.0,260
Emirates,Gulf,2023,275124.0,39044.0,51.9,79.9,315.0,260
Emirates,Gulf,2024,311898.0,51756.0,58.0,81.0,345.0,265
Etihad,Gulf,2019,46760.0,-7264.5,17.5,79.0,110.0,101
Etihad,Gulf,2020,22545.0,-14195.0,4.2,53.0,37.0,103
Etihad,Gulf,2021,25885.0,-3974.6,3.5,39.0,35.0,93
Etihad,Gulf,2022,41750.0,2421.5,10.0,82.0,65.0,71
Etihad,Gulf,2023,45925.0,1194.05,13.0,86.0,80.0,85
Etihad,Gulf,2024,54275.0,4175.0,17.0,88.0,95.0,95
Qatar Airways,Gulf,2019,117019.0,-16030.0,32.4,73.0,180.0,250
Qatar Airways,Gulf,2020,67097.0,-34121.0,5.8,30.0,60.0,250
Qatar Airways,Gulf,2021,119767.0,12824.0,18.5,68.0,120.0,257
Qatar Airways,Gulf,2022,174727.0,10076.0,31.7,80.0,170.0,265
Qatar Airways,Gulf,2023,185490.0,13969.0,40.0,83.0,195.0,285
Qatar Airways,Gulf,2024,206100.0,18320.0,45.0,85.0,210.0,300
